PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,GroupSize,Title,FamilySize,IsAloneFamily,IsAloneGroup
117,0,3,male,70.5,0,0,8,Q,1,Mr,1,1,1
118,0,2,male,29.0,1,0,21,S,2,Mr,2,0,0
119,0,1,male,24.0,0,1,248,C,2,Mr,2,0,0
120,0,3,female,2.0,4,2,31,S,7,Miss,7,0,0
121,0,2,male,21.0,2,0,74,S,5,Mr,3,0,0
122,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
123,0,2,male,32.5,1,0,30,C,2,Mr,2,0,0
124,1,2,female,32.5,0,0,13,S,1,Miss,1,1,1
125,0,1,male,54.0,0,1,77,S,2,Mr,2,0,0
126,1,3,male,12.0,1,0,11,C,2,Master,2,0,0
127,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
128,1,3,male,24.0,0,0,7,S,1,Mr,1,1,1
129,1,3,female,18.0,1,1,22,C,2,Miss,3,0,0
130,0,3,male,45.0,0,0,7,S,1,Mr,1,1,1
131,0,3,male,33.0,0,0,8,C,1,Mr,1,1,1
132,0,3,male,20.0,0,0,7,S,1,Mr,1,1,1
133,0,3,female,47.0,1,0,14,S,1,Mrs,2,0,1
134,1,2,female,29.0,1,0,26,S,1,Mrs,2,0,1
135,0,2,male,25.0,0,0,13,S,1,Mr,1,1,1
136,0,2,male,23.0,0,0,15,C,1,Mr,1,1,1
137,1,1,female,19.0,0,2,26,S,1,Miss,3,0,1
138,0,1,male,37.0,1,0,53,S,2,Mr,2,0,0
139,0,3,male,16.0,0,0,9,S,2,Mr,1,1,0
140,0,1,male,24.0,0,0,79,C,2,Mr,1,1,0
141,0,3,female,31.0,0,2,15,C,2,Mrs,3,0,0
142,1,3,female,22.0,0,0,8,S,1,Miss,1,1,1
143,1,3,female,24.0,1,0,16,S,2,Mrs,2,0,0
144,0,3,male,19.0,0,0,7,Q,1,Mr,1,1,1
145,0,2,male,18.0,0,0,12,S,1,Mr,1,1,1
146,0,2,male,19.0,1,1,37,S,2,Mr,3,0,0
147,1,3,male,27.0,0,0,8,S,1,Mr,1,1,1
148,0,3,female,9.0,2,2,34,S,4,Miss,5,0,0
149,0,2,male,36.5,0,2,26,S,3,Mr,3,0,0
150,0,2,male,42.0,0,0,13,S,1,Rare,1,1,1
151,0,2,male,51.0,0,0,13,S,1,Rare,1,1,1
152,1,1,female,22.0,1,0,67,S,2,Mrs,2,0,0
153,0,3,male,55.5,0,0,8,S,1,Mr,1,1,1
154,0,3,male,40.5,0,2,14,S,1,Mr,3,0,1
155,0,3,male,26.0,0,0,7,S,1,Mr,1,1,1
156,0,1,male,51.0,0,1,61,C,1,Mr,2,0,1
157,1,3,female,16.0,0,0,8,Q,1,Miss,1,1,1
158,0,3,male,30.0,0,0,8,S,1,Mr,1,1,1
159,0,3,male,26.0,0,0,9,S,1,Mr,1,1,1
160,0,3,male,4.0,8,2,70,S,7,Master,11,0,0
161,0,3,male,44.0,0,1,16,S,1,Mr,2,0,1
162,1,2,female,40.0,0,0,16,S,1,Mrs,1,1,1
163,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
164,0,3,male,17.0,0,0,9,S,1,Mr,1,1,1
165,0,3,male,1.0,4,1,40,S,6,Master,6,0,0
166,1,3,male,9.0,0,2,21,S,3,Master,3,0,0
167,1,1,female,39.5,0,1,55,S,2,Mrs,2,0,0
168,0,3,female,45.0,1,4,28,S,6,Mrs,6,0,0
169,0,1,male,40.0,0,0,26,S,1,Mr,1,1,1
170,0,3,male,28.0,0,0,56,S,7,Mr,1,1,0
171,0,1,male,61.0,0,0,34,S,1,Mr,1,1,1
172,0,3,male,4.0,4,1,29,Q,5,Master,6,0,0
173,1,3,female,1.0,1,1,11,S,3,Miss,3,0,0
174,0,3,male,21.0,0,0,8,S,1,Mr,1,1,1
175,0,1,male,56.0,0,0,31,C,1,Mr,1,1,1
176,0,3,male,18.0,1,1,8,S,1,Mr,3,0,1
177,0,3,male,4.0,3,1,25,S,4,Master,5,0,0
178,0,1,female,50.0,0,0,29,C,1,Miss,1,1,1
179,0,2,male,30.0,0,0,13,S,1,Mr,1,1,1
180,0,3,male,36.0,0,0,0,S,4,Mr,1,1,0
181,0,3,female,18.0,8,2,70,S,7,Miss,11,0,0
182,0,2,male,31.0,0,0,15,C,1,Mr,1,1,1
183,0,3,male,9.0,4,2,31,S,4,Master,7,0,0
184,1,2,male,1.0,2,1,39,S,2,Master,4,0,0
185,1,3,female,4.0,0,2,22,S,1,Miss,3,0,1
186,0,1,male,40.0,0,0,50,S,1,Mr,1,1,1
187,1,3,female,31.0,1,0,16,Q,2,Mrs,2,0,0
188,1,1,male,45.0,0,0,27,S,1,Mr,1,1,1
189,0,3,male,40.0,1,1,16,Q,2,Mr,3,0,0
190,0,3,male,36.0,0,0,8,S,1,Mr,1,1,1
191,1,2,female,32.0,0,0,13,S,1,Mrs,1,1,1
192,0,2,male,19.0,0,0,13,S,1,Mr,1,1,1
193,1,3,female,19.0,1,0,8,S,1,Miss,2,0,1
194,1,2,male,3.0,1,1,26,S,3,Master,3,0,0
195,1,1,female,44.0,0,0,28,C,1,Mrs,1,1,1
196,1,1,female,58.0,0,0,147,C,2,Miss,1,1,0
197,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
198,0,3,male,42.0,0,1,8,S,1,Mr,2,0,1
199,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
200,0,2,female,24.0,0,0,13,S,1,Miss,1,1,1
201,0,3,male,28.0,0,0,10,S,1,Mr,1,1,1
202,0,3,male,26.0,8,2,70,S,7,Mr,11,0,0
203,0,3,male,34.0,0,0,6,S,1,Mr,1,1,1
204,0,3,male,45.5,0,0,7,C,1,Mr,1,1,1
205,1,3,male,18.0,0,0,8,S,1,Mr,1,1,1
206,0,3,female,2.0,0,1,10,S,2,Miss,2,0,0
207,0,3,male,32.0,1,0,16,S,2,Mr,2,0,0
208,1,3,male,26.0,0,0,19,C,2,Mr,1,1,0
209,1,3,female,16.0,0,0,8,Q,1,Miss,1,1,1
210,1,1,male,40.0,0,0,31,C,1,Mr,1,1,1
211,0,3,male,24.0,0,0,7,S,1,Mr,1,1,1
212,1,2,female,35.0,0,0,21,S,1,Miss,1,1,1
213,0,3,male,22.0,0,0,7,S,1,Mr,1,1,1
214,0,2,male,30.0,0,0,13,S,1,Mr,1,1,1
215,0,3,male,26.0,1,0,8,Q,1,Mr,2,0,1
216,1,1,female,31.0,1,0,113,C,3,Miss,2,0,0
217,1,3,female,27.0,0,0,8,S,1,Miss,1,1,1
218,0,2,male,42.0,1,0,27,S,2,Mr,2,0,0
219,1,1,female,32.0,0,0,76,C,1,Miss,1,1,1
220,0,2,male,30.0,0,0,10,S,1,Mr,1,1,1
221,1,3,male,16.0,0,0,8,S,1,Mr,1,1,1
222,0,2,male,27.0,0,0,13,S,1,Mr,1,1,1
223,0,3,male,51.0,0,0,8,S,1,Mr,1,1,1
224,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
225,1,1,male,38.0,1,0,90,S,2,Mr,2,0,0
226,0,3,male,22.0,0,0,9,S,1,Mr,1,1,1
227,1,2,male,19.0,0,0,10,S,1,Mr,1,1,1
228,0,3,male,20.5,0,0,7,S,1,Mr,1,1,1
229,0,2,male,18.0,0,0,13,S,1,Mr,1,1,1
230,0,3,female,18.0,3,1,25,S,4,Miss,5,0,0
231,1,1,female,35.0,1,0,83,S,2,Mrs,2,0,0
232,0,3,male,29.0,0,0,8,S,1,Mr,1,1,1
233,0,2,male,59.0,0,0,14,S,1,Mr,1,1,1
234,1,3,female,5.0,4,2,31,S,4,Miss,7,0,0
235,0,2,male,24.0,0,0,10,S,1,Mr,1,1,1
236,0,3,female,18.0,0,0,8,S,1,Miss,1,1,1
237,0,2,male,44.0,1,0,26,S,1,Mr,2,0,1
238,1,2,female,8.0,0,2,26,S,3,Miss,3,0,0
239,0,2,male,19.0,0,0,10,S,1,Mr,1,1,1
240,0,2,male,33.0,0,0,12,S,1,Mr,1,1,1
241,0,3,female,18.0,1,0,14,C,2,Miss,2,0,0
242,1,3,female,18.0,1,0,16,Q,2,Miss,2,0,0
243,0,2,male,29.0,0,0,10,S,1,Mr,1,1,1
244,0,3,male,22.0,0,0,7,S,1,Mr,1,1,1
245,0,3,male,30.0,0,0,7,C,1,Mr,1,1,1
246,0,1,male,44.0,2,0,90,Q,2,Rare,3,0,0
247,0,3,female,25.0,0,0,8,S,1,Miss,1,1,1
248,1,2,female,24.0,0,2,14,S,2,Mrs,3,0,0
249,1,1,male,37.0,1,1,53,S,2,Mr,3,0,0
250,0,2,male,54.0,1,0,26,S,2,Rare,2,0,0
251,0,3,male,26.0,0,0,7,S,1,Mr,1,1,1
252,0,3,female,29.0,1,1,10,S,2,Mrs,3,0,0
253,0,1,male,62.0,0,0,27,S,1,Mr,1,1,1
254,0,3,male,30.0,1,0,16,S,2,Mr,2,0,0
255,0,3,female,41.0,0,2,20,S,2,Mrs,3,0,0
256,1,3,female,29.0,0,2,15,C,1,Mrs,3,0,1
257,1,1,female,39.5,0,0,79,C,1,Mrs,1,1,1
258,1,1,female,30.0,0,0,86,S,3,Miss,1,1,0
259,1,1,female,35.0,0,0,512,C,3,Miss,1,1,0
260,1,2,female,50.0,0,1,26,S,2,Mrs,2,0,0
261,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
262,1,3,male,3.0,4,2,31,S,4,Master,7,0,0
263,0,1,male,52.0,1,1,80,S,3,Mr,3,0,0
264,0,1,male,40.0,0,0,0,S,1,Mr,1,1,1
265,0,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
266,0,2,male,36.0,0,0,10,S,1,Mr,1,1,1
267,0,3,male,16.0,4,1,40,S,6,Mr,6,0,0
268,1,3,male,25.0,1,0,8,S,1,Mr,2,0,1
269,1,1,female,58.0,0,1,153,S,3,Mrs,2,0,0
270,1,1,female,35.0,0,0,136,S,3,Miss,1,1,0
271,0,1,male,40.0,0,0,31,S,2,Mr,1,1,0
272,1,3,male,25.0,0,0,0,S,4,Mr,1,1,0
273,1,2,female,41.0,0,1,20,S,2,Mrs,2,0,0
274,0,1,male,37.0,0,1,30,C,1,Mr,2,0,1
275,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
276,1,1,female,63.0,1,0,78,S,3,Miss,2,0,0
277,0,3,female,45.0,0,0,8,S,1,Miss,1,1,1
278,0,2,male,31.0,0,0,0,S,3,Mr,1,1,0
279,0,3,male,7.0,4,1,29,Q,5,Master,6,0,0
280,1,3,female,35.0,1,1,20,S,2,Mrs,3,0,0
281,0,3,male,65.0,0,0,8,Q,1,Mr,1,1,1
282,0,3,male,28.0,0,0,8,S,1,Mr,1,1,1
283,0,3,male,16.0,0,0,10,S,1,Mr,1,1,1
284,1,3,male,19.0,0,0,8,S,1,Mr,1,1,1
285,0,1,male,40.0,0,0,26,S,1,Mr,1,1,1
286,0,3,male,33.0,0,0,9,C,1,Mr,1,1,1
287,1,3,male,30.0,0,0,10,S,1,Mr,1,1,1
288,0,3,male,22.0,0,0,8,S,1,Mr,1,1,1
289,1,2,male,42.0,0,0,13,S,1,Mr,1,1,1
290,1,3,female,22.0,0,0,8,Q,1,Miss,1,1,1
291,1,1,female,26.0,0,0,79,S,2,Miss,1,1,0
292,1,1,female,19.0,1,0,91,C,2,Mrs,2,0,0
293,0,2,male,36.0,0,0,13,C,1,Mr,1,1,1
294,0,3,female,24.0,0,0,9,S,1,Miss,1,1,1
295,0,3,male,24.0,0,0,8,S,1,Mr,1,1,1
296,0,1,male,40.0,0,0,28,C,1,Mr,1,1,1
297,0,3,male,23.5,0,0,7,C,1,Mr,1,1,1
298,0,1,female,2.0,1,2,152,S,4,Miss,4,0,0
299,1,1,male,40.0,0,0,30,S,1,Mr,1,1,1
300,1,1,female,50.0,0,1,248,C,2,Mrs,2,0,0
301,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
302,1,3,male,26.0,2,0,23,Q,2,Mr,3,0,0
303,0,3,male,19.0,0,0,0,S,4,Mr,1,1,0
304,1,2,female,24.0,0,0,12,Q,1,Miss,1,1,1
305,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
306,1,1,male,0.92,1,2,152,S,4,Master,4,0,0
307,1,1,female,29.5,0,0,111,C,4,Miss,1,1,0
308,1,1,female,17.0,1,0,109,C,2,Mrs,2,0,0
309,0,2,male,30.0,1,0,24,C,2,Mr,2,0,0
310,1,1,female,30.0,0,0,57,C,2,Miss,1,1,0
311,1,1,female,24.0,0,0,83,C,2,Miss,1,1,0
312,1,1,female,18.0,2,2,262,C,2,Miss,5,0,0
313,0,2,female,26.0,1,1,26,S,1,Mrs,3,0,1
314,0,3,male,28.0,0,0,8,S,1,Mr,1,1,1
315,0,2,male,43.0,1,1,26,S,3,Mr,3,0,0
316,1,3,female,26.0,0,0,8,S,1,Miss,1,1,1
317,1,2,female,24.0,1,0,26,S,2,Mrs,2,0,0
318,0,2,male,54.0,0,0,14,S,1,Rare,1,1,1
319,1,1,female,31.0,0,2,165,S,2,Miss,3,0,0
320,1,1,female,40.0,1,1,134,C,2,Mrs,3,0,0
321,0,3,male,22.0,0,0,7,S,1,Mr,1,1,1
322,0,3,male,27.0,0,0,8,S,1,Mr,1,1,1
323,1,2,female,30.0,0,0,12,Q,1,Miss,1,1,1
324,1,2,female,22.0,1,1,29,S,2,Mrs,3,0,0
325,0,3,male,26.0,8,2,70,S,7,Mr,11,0,0
326,1,1,female,36.0,0,0,136,C,3,Miss,1,1,0
327,0,3,male,61.0,0,0,6,S,1,Mr,1,1,1
328,1,2,female,36.0,0,0,13,S,1,Mrs,1,1,1
329,1,3,female,31.0,1,1,21,S,3,Mrs,3,0,0
330,1,1,female,16.0,0,1,58,C,2,Miss,2,0,0
331,1,3,female,18.0,2,0,23,Q,2,Miss,3,0,0
332,0,1,male,45.5,0,0,28,S,1,Mr,1,1,1
333,0,1,male,38.0,0,1,153,S,3,Mr,2,0,0
334,0,3,male,16.0,2,0,18,S,2,Mr,3,0,0
335,1,1,female,39.5,1,0,134,S,2,Mrs,2,0,0
336,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
337,0,1,male,29.0,1,0,67,S,2,Mr,2,0,0
338,1,1,female,41.0,0,0,134,C,2,Miss,1,1,0
339,1,3,male,45.0,0,0,8,S,1,Mr,1,1,1
340,0,1,male,45.0,0,0,36,S,1,Mr,1,1,1
341,1,2,male,2.0,1,1,26,S,3,Master,3,0,0
342,1,1,female,24.0,3,2,263,S,4,Miss,6,0,0
343,0,2,male,28.0,0,0,13,S,1,Mr,1,1,1
344,0,2,male,25.0,0,0,13,S,1,Mr,1,1,1
345,0,2,male,36.0,0,0,13,S,1,Mr,1,1,1
346,1,2,female,24.0,0,0,13,S,1,Miss,1,1,1
347,1,2,female,40.0,0,0,13,S,1,Miss,1,1,1
348,1,3,female,31.0,1,0,16,S,1,Mrs,2,0,1
349,1,3,male,3.0,1,1,16,S,2,Master,3,0,0
350,0,3,male,42.0,0,0,9,S,1,Mr,1,1,1
351,0,3,male,23.0,0,0,9,S,1,Mr,1,1,1
352,0,1,male,40.0,0,0,35,S,1,Mr,1,1,1
353,0,3,male,15.0,1,1,7,C,1,Mr,3,0,1
354,0,3,male,25.0,1,0,18,S,2,Mr,2,0,0
355,0,3,male,26.0,0,0,7,C,1,Mr,1,1,1
356,0,3,male,28.0,0,0,10,S,1,Mr,1,1,1
357,1,1,female,22.0,0,1,55,S,2,Miss,2,0,0
358,0,2,female,38.0,0,0,13,S,1,Miss,1,1,1
359,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
360,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
361,0,3,male,40.0,1,4,28,S,6,Mr,6,0,0
362,0,2,male,29.0,1,0,28,C,1,Mr,2,0,1
363,0,3,female,45.0,0,1,14,C,2,Mrs,2,0,0
364,0,3,male,35.0,0,0,7,S,1,Mr,1,1,1
365,0,3,male,26.0,1,0,16,Q,2,Mr,2,0,0
366,0,3,male,30.0,0,0,7,S,1,Mr,1,1,1
367,1,1,female,60.0,1,0,75,C,1,Mrs,2,0,1
368,1,3,female,31.0,0,0,7,C,1,Mrs,1,1,1
369,1,3,female,18.0,0,0,8,Q,1,Miss,1,1,1
370,1,1,female,24.0,0,0,69,C,2,Mrs,1,1,0
371,1,1,male,25.0,1,0,55,C,1,Mr,2,0,1
372,0,3,male,18.0,1,0,6,S,1,Mr,2,0,1
373,0,3,male,19.0,0,0,8,S,1,Mr,1,1,1
374,0,1,male,22.0,0,0,136,C,3,Mr,1,1,0
375,0,3,female,3.0,3,1,21,S,4,Miss,5,0,0
376,1,1,female,39.5,1,0,82,C,2,Mrs,2,0,0
377,1,3,female,22.0,0,0,7,S,1,Miss,1,1,1
378,0,1,male,27.0,0,2,212,C,1,Mr,3,0,1
379,0,3,male,20.0,0,0,4,C,1,Mr,1,1,1
380,0,3,male,19.0,0,0,8,S,1,Mr,1,1,1
381,1,1,female,42.0,0,0,228,C,4,Miss,1,1,0
382,1,3,female,1.0,0,2,16,C,2,Miss,3,0,0
383,0,3,male,32.0,0,0,8,S,1,Mr,1,1,1
384,1,1,female,35.0,1,0,52,S,2,Mrs,2,0,0
385,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
386,0,2,male,18.0,0,0,74,S,5,Mr,1,1,0
387,0,3,male,1.0,5,2,47,S,6,Master,8,0,0
388,1,2,female,36.0,0,0,13,S,1,Miss,1,1,1
389,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
390,1,2,female,17.0,0,0,12,C,1,Miss,1,1,1
391,1,1,male,36.0,1,2,120,S,4,Mr,4,0,0
392,1,3,male,21.0,0,0,8,S,1,Mr,1,1,1
393,0,3,male,28.0,2,0,8,S,1,Mr,3,0,1
394,1,1,female,23.0,1,0,113,C,3,Miss,2,0,0
395,1,3,female,24.0,0,2,17,S,2,Mrs,3,0,0
396,0,3,male,22.0,0,0,8,S,1,Mr,1,1,1
397,0,3,female,31.0,0,0,8,S,1,Miss,1,1,1
398,0,2,male,46.0,0,0,26,S,2,Mr,1,1,0
399,0,2,male,23.0,0,0,10,S,1,Rare,1,1,1
400,1,2,female,28.0,0,0,13,S,1,Mrs,1,1,1
401,1,3,male,39.0,0,0,8,S,1,Mr,1,1,1
402,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
403,0,3,female,21.0,1,0,10,S,1,Miss,2,0,1
404,0,3,male,28.0,1,0,16,S,2,Mr,2,0,0
405,0,3,female,20.0,0,0,9,S,1,Miss,1,1,1
406,0,2,male,34.0,1,0,21,S,1,Mr,2,0,1
407,0,3,male,51.0,0,0,8,S,1,Mr,1,1,1
408,1,2,male,3.0,1,1,19,S,3,Master,3,0,0
409,0,3,male,21.0,0,0,8,S,1,Mr,1,1,1
410,0,3,female,18.0,3,1,25,S,4,Miss,5,0,0
411,0,3,male,26.0,0,0,8,S,1,Mr,1,1,1
412,0,3,male,26.0,0,0,7,Q,1,Mr,1,1,1
413,1,1,female,33.0,1,0,90,Q,2,Miss,2,0,0
414,0,2,male,31.0,0,0,0,S,3,Mr,1,1,0
415,1,3,male,44.0,0,0,8,S,1,Mr,1,1,1
416,0,3,female,31.0,0,0,8,S,1,Mrs,1,1,1
417,1,2,female,34.0,1,1,32,S,1,Mrs,3,0,1
418,1,2,female,18.0,0,2,13,S,1,Miss,3,0,1
419,0,2,male,30.0,0,0,13,S,1,Mr,1,1,1
420,0,3,female,10.0,0,2,24,S,3,Miss,3,0,0
421,0,3,male,26.0,0,0,8,C,1,Mr,1,1,1
422,0,3,male,21.0,0,0,8,Q,1,Mr,1,1,1
423,0,3,male,29.0,0,0,8,S,1,Mr,1,1,1
424,0,3,female,28.0,1,1,14,S,2,Mrs,3,0,0
425,0,3,male,18.0,1,1,20,S,2,Mr,3,0,0
426,0,3,male,26.0,0,0,7,S,1,Mr,1,1,1
427,1,2,female,28.0,1,0,26,S,1,Mrs,2,0,1
428,1,2,female,19.0,0,0,26,S,2,Miss,1,1,0
429,0,3,male,26.0,0,0,8,Q,1,Mr,1,1,1
430,1,3,male,32.0,0,0,8,S,1,Mr,1,1,1
431,1,1,male,28.0,0,0,27,S,1,Mr,1,1,1
